name,rating,review_count,price_range,category,address,hours,phone,website,services,price_per_person,url,lat,lng
Ho Jiak Town Hall - Junda's Playground (Enter from York Street),4.7,"2,661",,Malaysian restaurant,"
125 York St, Sydney NSW 2000, Australia", | Open · Closes 10 PM |  | See more hours |  | ,"
+61 2 8065 6954",https://www.hojiak.com.au/townhall/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Ho+Jiak+Town+Hall+-+Junda%27s+Playground+%28Enter+from+York+Street%29/data=!4m7!3m6!1s0x6b12afc0197576a3:0x6bcefbed35eb5900!8m2!3d-33.8717263!4d151.2063255!16s%2Fg%2F11fsz8sqsw!19sChIJo3Z1GcCvEmsRAFnrNe37zms?authuser=0&hl=en&rclk=1,-33.8717263,151.2063255
Palazzo Salato,4.7,"1,124",,Italian restaurant,"
201/203 Clarence St, Sydney NSW 2000, Australia",Hours,"
+61 2 9044 2556",http://palazzosalato.com/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Palazzo+Salato/data=!4m7!3m6!1s0x6b12af8dc792a911:0x74f097d37376f1b7!8m2!3d-33.8697461!4d151.2051313!16s%2Fg%2F11kbz2dl9w!19sChIJEamSx42vEmsRt_F2c9OX8HQ?authuser=0&hl=en&rclk=1,-33.8697461,151.2051313
ESQ Bar + Dining,4.6,714,,Bar & grill,"
Shop 1- 4 Level 2/455 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 8023 7609",http://www.esqatqvb.com.au/,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/ESQ+Bar+%2B+Dining/data=!4m7!3m6!1s0x6b12af5a5c38bd6d:0xe8a767e9b3061499!8m2!3d-33.8709869!4d151.2065277!16s%2Fg%2F11fhvyv86x!19sChIJbb04XFqvEmsRmRQGs-lnp-g?authuser=0&hl=en&rclk=1,-33.8709869,151.2065277
O Bar and Dining,4.4,"5,267",,Modern Australian restaurant,"
Australia Square, level 47/264 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9247 9777",https://www.obardining.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/O+Bar+and+Dining/data=!4m7!3m6!1s0x6b12ae41a06d3b9f:0x6f1893431a2a118c!8m2!3d-33.8649023!4d151.207767!16s%2Fg%2F1tn05y_2!19sChIJnzttoEGuEmsRjBEqGkOTGG8?authuser=0&hl=en&rclk=1,-33.8649023,151.207767
Famous Chef,4.7,51,,Asian restaurant,"
259 George St, Sydney NSW 2000, Australia",Hours,,,"·

Dine-in, ·

Takeout",A$1–20 per person,https://www.google.com/maps/place/Famous+Chef/data=!4m7!3m6!1s0x6b12af0054678965:0xf9663f8cce4ee2c3!8m2!3d-33.8638959!4d151.206795!16s%2Fg%2F11vqnm5bn2!19sChIJZYlnVACvEmsRw-JOzow_Zvk?authuser=0&hl=en&rclk=1,-33.8638959,151.206795
Bar Totti's,4.1,"4,017",,Italian restaurant,"
330A/330B George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9114 7379",https://merivale.com/venues/bar-tottis/?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_bartottis&utm_content=website,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Bar+Totti%27s/data=!4m7!3m6!1s0x6b12af1cc59ef827:0x440d69d086e5cc0e!8m2!3d-33.866462!4d151.2073516!16s%2Fg%2F11h8ff09md!19sChIJJ_iexRyvEmsRDszlhtBpDUQ?authuser=0&hl=en&rclk=1,-33.866462,151.2073516
The Malaya,4.4,"1,954",,Southeast Asian restaurant,"
225 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9279 1170",http://www.themalaya.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/The+Malaya/data=!4m7!3m6!1s0x6b12ae3886074fe1:0x5a6c563c55c9ebc9!8m2!3d-33.8623282!4d151.2073123!16s%2Fg%2F1w97vjyd!19sChIJ4U8HhjiuEmsRyevJVTxWbFo?authuser=0&hl=en&rclk=1,-33.8623282,151.2073123
Bistro Nido,4.4,471,Moderately priced,Modern French restaurant,"
Shop 10.07/501 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9283 9762",http://www.bistronido.com.au/,"·

Dine-in",,https://www.google.com/maps/place/Bistro+Nido/data=!4m7!3m6!1s0x6b12afad8319f66b:0x5dc82c6953eac0a3!8m2!3d-33.8746681!4d151.2063283!16s%2Fg%2F11sswx4hzr!19sChIJa_YZg62vEmsRo8DqU2ksyF0?authuser=0&hl=en&rclk=1,-33.8746681,151.2063283
The Grounds of The City,4.2,"6,148",,Cafe,"
Shop RG 12/500 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9699 2225",https://thegrounds.com.au/dine-in/the-city,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/The+Grounds+of+The+City/data=!4m7!3m6!1s0x6b12ae3e8b2605d9:0x3b93f1de7a26f341!8m2!3d-33.8721013!4d151.2073252!16s%2Fg%2F11g69__c65!19sChIJ2QUmiz6uEmsRQfMmet7xkzs?authuser=0&hl=en&rclk=1,-33.8721013,151.2073252
Dopa Donburi - Sydney Place,4.6,143,,Japanese restaurant,"
Shop CQT.11/180 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9251 0235",http://www.dopa.com.au/,"·

Dine-in, ·

Takeout, ·

No-contact delivery",A$20–40 per person,https://www.google.com/maps/place/Dopa+Donburi+-+Sydney+Place/data=!4m7!3m6!1s0x6b12afcc0cad69a3:0xef42c6bda3ae64b9!8m2!3d-33.8621449!4d151.2081694!16s%2Fg%2F11ss50qdpr!19sChIJo2mtDMyvEmsRuWSuo73GQu8?authuser=0&hl=en&rclk=1,-33.8621449,151.2081694
Dopa Donburi and Dessert - Regent Place,4.5,"1,223",,Japanese restaurant,"
Lot 50a - 51, Level 9, Regent Place, 501 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9267 5775",http://www.dopa.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Dopa+Donburi+and+Dessert+-+Regent+Place/data=!4m7!3m6!1s0x6b12af7e61e187bf:0x9ecce47324397bf5!8m2!3d-33.8745852!4d151.2062902!16s%2Fg%2F11n0g7qwml!19sChIJv4fhYX6vEmsR9Xs5JHPkzJ4?authuser=0&hl=en&rclk=1,-33.8745852,151.2062902
Jacksons on George,3.9,416,Moderately priced,Pub,"
176 George St, Sydney NSW 2000, Australia", | Open · Closes 2 AM |  | See more hours |  | ,"
+61 2 8027 9997",https://jacksonsongeorge.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Jacksons+on+George/data=!4m7!3m6!1s0x6b12ae4248a6f14f:0xe495cd4d7d8f35ca!8m2!3d-33.8618079!4d151.2081226!16s%2Fg%2F1td00mzs!19sChIJT_GmSEKuEmsRyjWPfU3NleQ?authuser=0&hl=en&rclk=1,-33.8618079,151.2081226
Glass Brasserie,4.4,"1,271",,Modern Australian restaurant,"
level 2/488 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9265 6068",https://www.glassbrasserie.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Glass+Brasserie/data=!4m7!3m6!1s0x6b12ae3ef48720f1:0xdabe28091ce0caea!8m2!3d-33.8718497!4d151.2071917!16s%2Fg%2F1hc1vthl5!19sChIJ8SCH9D6uEmsR6srgHAkovto?authuser=0&hl=en&rclk=1,-33.8718497,151.2071917
Ragazzi,4.4,"2,134",Moderately priced,Italian restaurant,"
Shop 3/2-12 Angel Pl, Sydney NSW 2000, Australia",Hours,"
+61 2 8964 3062",http://www.ragazziwinepasta.com/,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/Ragazzi/data=!4m7!3m6!1s0x6b12afcec5db194d:0xfb4a5844fda5439d!8m2!3d-33.8669714!4d151.2081271!16s%2Fg%2F11hdvvyybb!19sChIJTRnbxc6vEmsRnUOl_URYSvs?authuser=0&hl=en&rclk=1,-33.8669714,151.2081271
Mappen,4.4,"1,336",,Japanese restaurant,"
shop 11/537-551 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9283 5525",http://www.mappen.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",A$1–20 per person,https://www.google.com/maps/place/Mappen/data=!4m7!3m6!1s0x6b12ae3c8b4b1e87:0x6bfddc81ce2ef21c!8m2!3d-33.8759036!4d151.2058923!16s%2Fg%2F1vvr6cbm!19sChIJhx5LizyuEmsRHPIuzoHc_Ws?authuser=0&hl=en&rclk=1,-33.8759036,151.2058923
The Meat & Wine Co Sydney CBD Castlereagh St,4.6,830,,Steak house,"
219-223 Castlereagh St, Sydney NSW 2000, Australia",Hours,"
+61 2 9252 7888",https://themeatandwineco.com/sydney-restaurants/castlereagh-st/,"·

Dine-in, ·

Curbside pickup, ·

Delivery",,https://www.google.com/maps/place/The+Meat+%26+Wine+Co+Sydney+CBD+Castlereagh+St/data=!4m7!3m6!1s0x6b12af98614c8f87:0x3a9256b0782a4264!8m2!3d-33.875427!4d151.2088003!16s%2Fg%2F11v4myn3bg!19sChIJh49MYZivEmsRZEIqeLBWkjo?authuser=0&hl=en&rclk=1,-33.875427,151.2088003
Clam Bar,4.5,489,,Restaurant,"
44 Bridge St, Sydney NSW 2000, Australia", | Closed · Opens 12 PM Mon |  | See more hours |  | ,"
+61 2 9016 1590",http://www.clambarsydney.com/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Clam+Bar/data=!4m7!3m6!1s0x6b12af19082d85f5:0x42c6b0c362caacbc!8m2!3d-33.8632044!4d151.2109731!16s%2Fg%2F11trk0yswl!19sChIJ9YUtCBmvEmsRvKzKYsOwxkI?authuser=0&hl=en&rclk=1,-33.8632044,151.2109731
Platform 818,4.5,217,,Restaurant,"
818-820 George St, Sydney NSW 2000, Australia",,"
+61 2 9217 6708",https://www.platform818.com.au/,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/Platform+818/data=!4m7!3m6!1s0x6b12afecae0fa86f:0xefb182e8a93de52b!8m2!3d-33.8840417!4d151.202994!16s%2Fg%2F11h6272v45!19sChIJb6gPruyvEmsRK-U9qeiCse8?authuser=0&hl=en&rclk=1,-33.8840417,151.202994
Dopa Donburi - Galeries,4.6,169,,Japanese restaurant,"
The Galeries, Shop FC009/500 George St, Sydney NSW 2000, Australia",Hours,"
+61 405 651 602",http://www.dopa.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Dopa+Donburi+-+Galeries/data=!4m7!3m6!1s0x6b12afefb3b91ced:0xe6c1bc3b33803fe9!8m2!3d-33.8724408!4d151.2071504!16s%2Fg%2F11stq44gp6!19sChIJ7Ry5s--vEmsR6T-AMzu8weY?authuser=0&hl=en&rclk=1,-33.8724408,151.2071504
Establishment Precinct,4.3,657,Moderately priced,Restaurant,"
252 George St, Sydney NSW 2000, Australia","happy hour, mentioned in 3 reviews","
+61 2 9240 3000",https://merivale.com/venues/establishment?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_establishmentprecinct&utm_content=website,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Establishment+Precinct/data=!4m7!3m6!1s0x6b12af15a5b04997:0x13d362d9a36dabc7!8m2!3d-33.8640415!4d151.2076769!16s%2Fg%2F11gk8vgwny!19sChIJl0mwpRWvEmsRx6tto9li0xM?authuser=0&hl=en&rclk=1,-33.8640415,151.2076769
uccello,4.2,490,,Italian restaurant,"
4/320 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9114 7309",,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/uccello/data=!4m7!3m6!1s0x6b12ae3f0f55c703:0x5bab28fb01bb06ed!8m2!3d-33.8662922!4d151.207502!16s%2Fg%2F1tdyfss5!19sChIJA8dVDz-uEmsR7Qa7Afsoq1s?authuser=0&hl=en&rclk=1,-33.8662922,151.207502
Manon Brasserie,3.9,"1,669",,Modern French restaurant,"
55/455 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9051 2008",https://www.manonbrasserie.com.au/?gclid=Cj0KCQjwqPGUBhDwARIsANNwjV7JFrjVKr54nEuP9x-3At_yqkYaW3c9fPcllCjlwVwZ-6JvQyx4tZQaAi4PEALw_wcB,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Manon+Brasserie/data=!4m7!3m6!1s0x6b12af231ec4e083:0x22fa7e76c3c6036d!8m2!3d-33.8725156!4d151.2066402!16s%2Fg%2F11t0t4q7tc!19sChIJg-DEHiOvEmsRbQPGw3Z--iI?authuser=0&hl=en&rclk=1,-33.8725156,151.2066402
Roast Republic,4.7,"1,616",Moderately priced,Steak house,"
174 Clarence St, Sydney NSW 2000, Australia", | Open · Closes 9 PM |  | See more hours |  | ,"
+61 2 8038 1640",http://www.roastrepublic.com.au/,"·

Dine-in, ·

Takeout, ·

No-contact delivery",,https://www.google.com/maps/place/Roast+Republic/data=!4m7!3m6!1s0x6b12afeedb518daf:0xaef52146819dc019!8m2!3d-33.8704062!4d151.2056055!16s%2Fg%2F11rkgpzhf6!19sChIJr41R2-6vEmsRGcCdgUYh9a4?authuser=0&hl=en&rclk=1,-33.8704062,151.2056055
Morrison’s Oyster Bar & Grill,4.1,"2,615",Moderately priced,Oyster bar restaurant,"
225 George Street Corner of, Grosvenor St, Sydney NSW 2000, Australia", | Open · Closes 12 AM |  | See more hours |  | ,"
+61 2 9247 6744",https://morrisons.sydney/,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/Morrison%E2%80%99s+Oyster+Bar+%26+Grill/data=!4m7!3m6!1s0x6b12ae422b50e699:0x43c08a1c43811400!8m2!3d-33.8632267!4d151.2073073!16s%2Fg%2F11cfgn_rl!19sChIJmeZQK0KuEmsRABSBQxyKwEM?authuser=0&hl=en&rclk=1,-33.8632267,151.2073073
The Grand Palace - Indian Restaurant in Sydney,4.4,"1,663",,Indian restaurant,"
Basement/261 George St, Sydney NSW 2000, Australia", | Closed · Opens 5 PM |  | See more hours |  | ,"
+61 2 8021 7696",https://thegrandpalace.com.au/,"·

Dine-in, ·

Takeout, ·

No-contact delivery",A$40–60 per person,https://www.google.com/maps/place/The+Grand+Palace+-+Indian+Restaurant+in+Sydney/data=!4m7!3m6!1s0x6b12afac09f525ab:0xc5ade05750b0f485!8m2!3d-33.8644685!4d151.2071626!16s%2Fg%2F11mhvqh479!19sChIJqyX1CayvEmsRhfSwUFfgrcU?authuser=0&hl=en&rclk=1,-33.8644685,151.2071626
Uptown Korea CBD,4.8,"1,566",,Korean grocery store,"
Shop 1/614 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 7245 2991",https://uptownkorea.com.au/?utm_source=gmb&utm_medium=organic,"·

Dine-in, ·

No-contact delivery",,https://www.google.com/maps/place/Uptown+Korea+CBD/data=!4m7!3m6!1s0x6b12afb5fd165323:0x4809b82da2f01e0b!8m2!3d-33.8755601!4d151.2069091!16s%2Fg%2F11txtly3p8!19sChIJI1MW_bWvEmsRCx7woi24CUg?authuser=0&hl=en&rclk=1,-33.8755601,151.2069091
Santa Catarina: Oaxacan Restaurant & Mezcal Bar Sydney,4.6,816,,Restaurant,"
Shop 1/152-156 Clarence St, Sydney NSW 2000, Australia",Hours,"
+61 2 8319 3042",https://santacatarina.com.au/,"·

Dine-in, ·

Delivery",,https://www.google.com/maps/place/Santa+Catarina:+Oaxacan+Restaurant+%26+Mezcal+Bar+Sydney/data=!4m7!3m6!1s0x6b12afd355cfb3e3:0xab76a235ffba54ab!8m2!3d-33.8696973!4d151.2054998!16s%2Fg%2F11rrr9m04h!19sChIJ47PPVdOvEmsRq1S6_zWidqs?authuser=0&hl=en&rclk=1,-33.8696973,151.2054998
The Momos Hub Townhall,4.4,"3,553",,Nepalese restaurant,"
Basement/636 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9261 0642",http://themomoshub.com.au/,"·

Dine-in, ·

Takeout, ·

No-contact delivery",A$20–40 per person,https://www.google.com/maps/place/The+Momos+Hub+Townhall/data=!4m7!3m6!1s0x6b12ae2711af5f13:0x44b1d4fdf1f8ef7f!8m2!3d-33.8762043!4d151.2065103!16s%2Fg%2F11f4lctgmn!19sChIJE1-vESeuEmsRf-_48f3UsUQ?authuser=0&hl=en&rclk=1,-33.8762043,151.2065103
Gowings,4.3,"1,163",,Steak house,"
Suite 1/49 Market St, Sydney NSW 2000, Australia", | Closed · Opens 5:30 PM Mon |  | Updated by this business 6 weeks ago |  | See more hours |  | ,"
+61 2 8262 0000",https://www.gowingsbarandgrill.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Gowings/data=!4m7!3m6!1s0x6b12ae3e5570ba95:0x8dd94962818c7616!8m2!3d-33.8708632!4d151.207426!16s%2Fg%2F1pzrv1sdd!19sChIJlbpwVT6uEmsRFnaMgWJJ2Y0?authuser=0&hl=en&rclk=1,-33.8708632,151.207426
Lotus The Galeries,4.3,719,,Chinese restaurant,"
Opposite the QVB inside The Galeries and one floor up, The Galeries, Level 1/500 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9247 6868",https://lotusdininggroup.com/the-galeries/?utm_content=Lotus+The+Galeries+-+Sydney&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_16617120324212740493,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Lotus+The+Galeries/data=!4m7!3m6!1s0x6b12ae3e891251c5:0xaf0ed996fcae89fb!8m2!3d-33.8724408!4d151.2071504!16s%2Fg%2F11b8t80npz!19sChIJxVESiT6uEmsR-4mu_JbZDq8?authuser=0&hl=en&rclk=1,-33.8724408,151.2071504
The Momos Hub Townhall,4.4,"3,553",,Nepalese restaurant,"
Basement/636 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9261 0642",http://themomoshub.com.au/,"·

Dine-in, ·

Takeout, ·

No-contact delivery",A$20–40 per person,https://www.google.com/maps/place/The+Momos+Hub+Townhall/data=!4m7!3m6!1s0x6b12ae2711af5f13:0x44b1d4fdf1f8ef7f!8m2!3d-33.8762043!4d151.2065103!16s%2Fg%2F11f4lctgmn!19sChIJE1-vESeuEmsRf-_48f3UsUQ?authuser=0&hl=en&rclk=1,-33.8762043,151.2065103
Uptown Korea CBD,4.8,"1,566",,Korean grocery store,"
Shop 1/614 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 7245 2991",https://uptownkorea.com.au/?utm_source=gmb&utm_medium=organic,"·

Dine-in, ·

No-contact delivery",,https://www.google.com/maps/place/Uptown+Korea+CBD/data=!4m7!3m6!1s0x6b12afb5fd165323:0x4809b82da2f01e0b!8m2!3d-33.8755601!4d151.2069091!16s%2Fg%2F11txtly3p8!19sChIJI1MW_bWvEmsRCx7woi24CUg?authuser=0&hl=en&rclk=1,-33.8755601,151.2069091
Gowings,4.3,"1,163",,Steak house,"
Suite 1/49 Market St, Sydney NSW 2000, Australia", | Closed · Opens 5:30 PM Mon |  | Updated by this business 6 weeks ago |  | See more hours |  | ,"
+61 2 8262 0000",https://www.gowingsbarandgrill.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Gowings/data=!4m7!3m6!1s0x6b12ae3e5570ba95:0x8dd94962818c7616!8m2!3d-33.8708632!4d151.207426!16s%2Fg%2F1pzrv1sdd!19sChIJlbpwVT6uEmsRFnaMgWJJ2Y0?authuser=0&hl=en&rclk=1,-33.8708632,151.207426
Bennelong,4.5,"2,127",,Australian restaurant,"
Sydney Opera House, Bennelong Point, Sydney NSW 2000, Australia",Hours,"
+61 2 9240 8000",http://www.bennelong.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Bennelong/data=!4m7!3m6!1s0x6b12ae66608dc941:0x1c5249021cf980f3!8m2!3d-33.8574468!4d151.2147431!16s%2Fg%2F1hhjks153!19sChIJQcmNYGauEmsR84D5HAJJUhw?authuser=0&hl=en&rclk=1,-33.8574468,151.2147431
Lotus The Galeries,4.3,719,,Chinese restaurant,"
Opposite the QVB inside The Galeries and one floor up, The Galeries, Level 1/500 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 9247 6868",https://lotusdininggroup.com/the-galeries/?utm_content=Lotus+The+Galeries+-+Sydney&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_16617120324212740493,"·

Dine-in, ·

Takeout, ·

Delivery",,https://www.google.com/maps/place/Lotus+The+Galeries/data=!4m7!3m6!1s0x6b12ae3e891251c5:0xaf0ed996fcae89fb!8m2!3d-33.8724408!4d151.2071504!16s%2Fg%2F11b8t80npz!19sChIJxVESiT6uEmsR-4mu_JbZDq8?authuser=0&hl=en&rclk=1,-33.8724408,151.2071504
Sushi Hotaru Charcoal Bar,4.5,487,,Japanese restaurant,"
LG2/455 George St, Sydney NSW 2000, Australia",Hours,"
+61 2 8288 9093",https://sushihotaru.com.au/,"·

Dine-in, ·

Takeout, ·

Delivery",A$20–40 per person,https://www.google.com/maps/place/Sushi+Hotaru+Charcoal+Bar/data=!4m7!3m6!1s0x6b12afadfcb41ad1:0x6bb4116ec8ffbd92!8m2!3d-33.8709598!4d151.206656!16s%2Fg%2F11l27wp_9_!19sChIJ0Rq0_K2vEmsRkr3_yG4RtGs?authuser=0&hl=en&rclk=1,-33.8709598,151.206656
